timestamp,invocations,memory_MB,timeout_sec,concurrency,cold_start,latency_ms,duration_ms,hour,minute,second,dayofweek,invocations_lag1,invocations_lag2,invocations_avg_5,invocations_std_5
2024-01-01 00:20:00,217,512,3,21,1,338.17,185.65,0,20,0,0,235.0,226.0,224.0,7.245688373094722
2024-01-01 00:25:00,110,256,15,11,0,140.33,140.03,0,25,0,0,217.0,235.0,201.2,51.494659917315694
2024-01-01 00:30:00,122,256,3,12,0,142.51,144.54,0,30,0,0,110.0,217.0,182.0,60.73302231899874
2024-01-01 00:35:00,119,256,15,11,0,157.72,139.93,0,35,0,0,122.0,110.0,160.6,60.20215942970816
2024-01-01 00:40:00,115,3008,1,11,1,281.91,129.44,0,40,0,0,119.0,122.0,136.6,45.16968009627696
2024-01-01 00:45:00,122,128,10,12,0,144.29,135.54,0,45,0,0,115.0,119.0,117.6,5.128352561983124
2024-01-01 00:50:00,118,3008,1,11,0,134.23,125.12,0,50,0,0,122.0,115.0,119.2,2.949576240750336
2024-01-01 00:55:00,119,3008,1,11,0,173.89,148.28,0,55,0,0,118.0,122.0,118.6,2.509980079602005
2024-01-01 01:00:00,124,2048,10,12,0,166.67,141.04,1,0,0,0,119.0,118.0,119.6,3.507135583349879
2024-01-01 01:05:00,114,128,30,11,0,168.77,150.15,1,5,0,0,124.0,119.0,119.4,3.847076812334128
2024-01-01 01:10:00,116,2048,15,11,0,140.52,112.72,1,10,0,0,114.0,124.0,118.2,3.768288736283211
2024-01-01 01:15:00,122,1024,1,12,0,135.17,126.91,1,15,0,0,116.0,114.0,119.0,4.123105625617529
2024-01-01 01:20:00,119,128,10,11,0,166.65,150.21,1,20,0,0,122.0,116.0,119.0,4.123105625617529
2024-01-01 01:25:00,126,128,15,12,0,166.22,129.74,1,25,0,0,119.0,122.0,119.4,4.774934554525214
2024-01-01 01:30:00,119,128,10,11,0,136.18,115.5,1,30,0,0,126.0,119.0,120.4,3.7815340802376625
2024-01-01 01:35:00,116,256,10,11,0,149.79,128.53,1,35,0,0,119.0,126.0,120.4,3.7815340802376625
2024-01-01 01:40:00,130,256,30,13,0,176.2,133.14,1,40,0,0,116.0,119.0,122.0,5.787918451395019
2024-01-01 01:45:00,120,2048,1,12,0,150.55,144.54,1,45,0,0,130.0,116.0,122.2,5.674504383644347
2024-01-01 01:50:00,120,2048,10,12,0,150.38,122.42,1,50,0,0,120.0,130.0,121.0,5.291502622129078
2024-01-01 01:55:00,111,128,10,11,0,167.29,130.65,1,55,0,0,120.0,120.0,119.4,6.985699678629116
2024-01-01 02:00:00,114,2048,3,11,0,158.47,141.72,2,0,0,0,111.0,120.0,119.0,7.280109889280444
2024-01-01 02:05:00,115,256,1,11,0,165.93,137.33,2,5,0,0,114.0,111.0,116.0,3.9370039370057692
2024-01-01 02:10:00,107,3008,15,10,0,118.18,108.0,2,10,0,0,115.0,114.0,113.4,4.827007354458758
2024-01-01 02:15:00,112,3008,1,11,0,171.18,158.05,2,15,0,0,107.0,115.0,111.8,3.114482300479319
2024-01-01 02:20:00,105,3008,30,10,0,158.29,134.44,2,20,0,0,112.0,107.0,110.6,4.393176527297639
2024-01-01 02:25:00,104,2048,30,10,0,171.38,143.39,2,25,0,0,105.0,112.0,108.6,4.722287581246924
2024-01-01 02:30:00,100,1024,10,10,0,150.33,119.12,2,30,0,0,104.0,105.0,105.6,4.393176527297634
2024-01-01 02:35:00,110,256,3,11,0,191.98,156.28,2,35,0,0,100.0,104.0,106.2,4.816637831516804
2024-01-01 02:40:00,98,1024,3,9,0,159.81,140.48,2,40,0,0,110.0,100.0,103.4,4.669047011971385
2024-01-01 02:45:00,90,2048,5,9,0,144.67,112.73,2,45,0,0,98.0,110.0,100.4,7.402702209328627
2024-01-01 02:50:00,97,512,5,9,0,164.74,148.16,2,50,0,0,90.0,98.0,99.0,7.211102550927905
2024-01-01 02:55:00,85,128,3,8,1,300.23,141.21,2,55,0,0,97.0,90.0,96.0,9.460443964212194
2024-01-01 03:00:00,89,256,30,8,0,150.94,128.87,3,0,0,0,85.0,97.0,91.8,5.540758070877932
2024-01-01 03:05:00,76,3008,1,7,0,139.12,114.66,3,5,0,0,89.0,85.0,87.4,7.700649323271315
2024-01-01 03:10:00,78,1024,1,7,0,141.69,117.45,3,10,0,0,76.0,89.0,85.0,8.51469318296314
2024-01-01 03:15:00,83,512,10,8,0,133.7,129.75,3,15,0,0,78.0,76.0,82.2,5.263078946776209
2024-01-01 03:20:00,84,512,30,8,0,137.24,128.48,3,20,0,0,83.0,78.0,82.0,5.147815070493399
2024-01-01 03:25:00,80,256,5,8,0,138.25,117.22,3,25,0,0,84.0,83.0,80.2,3.3466401061361473
2024-01-01 03:30:00,77,256,3,7,1,264.49,131.36,3,30,0,0,80.0,84.0,80.4,3.0495901363952114
2024-01-01 03:35:00,75,512,30,7,0,146.53,118.22,3,35,0,0,77.0,80.0,79.8,3.8340579025360264
2024-01-01 03:40:00,68,128,10,6,0,126.36,97.64,3,40,0,0,75.0,77.0,76.8,5.974947698515774
2024-01-01 03:45:00,71,128,15,7,0,134.66,111.39,3,45,0,0,68.0,75.0,74.2,4.764451699828527
2024-01-01 03:50:00,72,1024,30,7,0,136.58,127.79,3,50,0,0,71.0,68.0,72.6,3.5071355833498856
